safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_5267439fd5e6fa9c_0,0.058333,0.172,0.107,0.721,0.9117,0.008333,0.0,0.05,third,2.9915,0.8966,0.0,0
inst_cb7b7cc8610afc27_1,0.037879,0.084,0.037,0.879,0.5621,0.0,0.0,0.007576,third,3.2126,0.8478,0.037879,5
inst_857ae18359aab76d_2,0.058824,0.092,0.011,0.897,0.9403,0.037815,0.0,0.016807,first,3.0369,0.9778,0.012605,3
inst_c69d2c3bae55b7bc_3,0.008299,0.039,0.12,0.841,-0.9661,0.0,0.0,0.041494,third,3.3884,0.9651,0.016598,4
inst_289b4547308edda7_4,0.00625,0.095,0.161,0.744,-0.8737,0.0,0.0,0.05625,third,3.0823,0.9677,0.0,0
inst_296e1f787f2f9d9a_5,0.012605,0.041,0.071,0.888,-0.802,0.004202,0.004202,0.02521,third,3.2733,0.9388,0.008403,2
inst_038aa920c8392d34_6,0.021097,0.148,0.0,0.852,0.9835,0.0,0.021097,0.0,second,3.1774,0.9158,0.012658,3
inst_914f0e14c64e6c76_7,0.025316,0.115,0.027,0.858,0.9634,0.012658,0.004219,0.033755,third,3.3664,0.9388,0.0,0
inst_519a328dd05e63db_8,0.024793,0.137,0.052,0.811,0.9667,0.066116,0.024793,0.033058,first,3.0412,0.9659,0.008264,2
inst_24c673570e4ee7d9_9,0.05,0.151,0.024,0.826,0.9337,0.05,0.0,0.025,first,2.934,0.9756,0.025,3
inst_76a799c4a7372d4a_10,0.053333,0.017,0.044,0.939,-0.765,0.0,0.0,0.013333,third,3.1009,0.881,0.022222,5
inst_0a52c1f28e285ea2_11,0.067194,0.143,0.043,0.813,0.9755,0.011858,0.0,0.075099,third,3.2402,0.989,0.007905,2
inst_ebc5f9ecf7812496_12,0.035088,0.027,0.133,0.841,-0.9747,0.008772,0.0,0.004386,first,3.0518,0.8652,0.030702,7
inst_8f2df5d22995a64f_13,0.0,0.097,0.024,0.879,0.9382,0.0,0.02008,0.008032,second,3.1623,0.9057,0.0,0
inst_170d1be617f2d64c_14,0.035294,0.0,0.0,1.0,0.0,0.0,0.0,0.047059,third,3.384,0.8824,0.035294,3
inst_ca663ec7a00f003e_15,0.04955,0.049,0.048,0.903,-0.2023,0.0,0.0,0.009009,third,3.106,0.8989,0.009009,2
inst_41c4100b437f957e_16,0.014706,0.036,0.048,0.915,-0.3291,0.0,0.0,0.058824,third,2.8812,0.9615,0.007353,1
inst_7589dc3fbfa816e8_17,0.035556,0.097,0.104,0.799,-0.6696,0.0,0.0,0.008889,third,2.9014,0.9412,0.031111,7
inst_2d9348f722886262_18,0.078571,0.168,0.029,0.803,0.9703,0.035714,0.007143,0.064286,third,2.6798,0.9608,0.007143,1
inst_71a119e6882e66a7_19,0.012605,0.261,0.022,0.718,0.9944,0.067227,0.0,0.021008,first,3.0825,0.9623,0.008403,2
inst_8932ae6848c43de3_20,0.027397,0.042,0.053,0.905,-0.5416,0.0,0.0,0.018265,third,2.9504,0.9762,0.009132,2
inst_d9876b02ae4011d9_21,0.0,0.096,0.0,0.904,0.9595,0.0,0.030043,0.008584,second,3.4146,0.9524,0.012876,3
inst_0b062d4e51bbcf9e_22,0.018018,0.107,0.029,0.864,0.9207,0.117117,0.0,0.009009,first,2.9894,0.9789,0.018018,4
inst_5e1efd6855b4c080_23,0.057613,0.034,0.022,0.944,0.5423,0.0,0.0,0.016461,third,3.2186,0.975,0.032922,8
inst_d881ee07cd57306b_24,0.0,0.036,0.021,0.943,0.4588,0.0,0.0,0.006689,third,3.2097,0.5882,0.003344,1
inst_1c8886ac27b222e9_25,0.035874,0.185,0.0,0.815,0.9883,0.067265,0.008969,0.022422,first,3.0046,0.9535,0.022422,5
inst_c5ab0ae4fca095bb_26,0.034934,0.092,0.126,0.782,-0.8902,0.008734,0.0,0.026201,third,2.8938,0.956,0.004367,1
inst_96b11f1bbd4e1368_27,0.068085,0.069,0.039,0.892,0.743,0.0,0.0,0.038298,third,3.3193,0.9867,0.029787,7
inst_5967fd34e21810a6_28,0.0131,0.176,0.008,0.816,0.9875,0.069869,0.0,0.0131,first,3.0693,0.9813,0.008734,2
